ind	dD	dP	dM	t	sexo	edad	NDependents
950	0	0	0	12	1	33	2
952	0	0	0	12	0	28	1
953	0	0	0	21	1	39	2
955	1	0	0	15	1	26	1
956	0	0	0	18	1	55	2
957	0	0	0	21	1	61	1
958	0	0	0	30	1	21	1
959	1	0	0	15	1	26	1
960	0	0	0	24	0	22	1


library(survival)
Credito<- read.table("Crédito.txt",header=TRUE)


# Objeto Surv
t <- Credito$t 
d <- Credito$dD
y <- Surv(t,d)
# Covariantes
Sex = Credito$Sex
ED = Credito$edad

# Ajuste del modelo
survreg(y~Sex + ED ,dist="loglogistic")


